ID;NOMBRE;APELLIDO;CEDULA;FECHA NACIMIENTO;GENERO;CONDICION1;CONOCIMIENTOC1;EXPERIENCIAC1;CONDICION2;CONOCIMIENTOC2;EXPERIENCIAC2;CONDICION3;CONOCIMIENTOC3;EXPERIENCIAC3;CONDICION4;CONOCIMIENTOC4;EXPERIENCIAC4;CONDICION5;CONOCIMIENTOC5;EXPERIENCIAC5;DIAGNOSTICO1;CONOCIMIENTOD1;EXPERIENCIAD1;DIAGNOSTICO2;CONOCIMIENTOD2;EXPERIENCIAD2;DIAGNOSTICO3;CONOCIMIENTOD3;EXPERIENCIAD3;DIAGNOSTICO4;CONOCIMIENTOD4;EXPERIENCIAD4;DIAGNOSTICO5;CONOCIMIENTOD5;EXPERIENCIAD5;DIAGNOSTICO6;CONOCIMIENTOD6;EXPERIENCIAD6;ACOMPAÑAMIENTO1;CONOCIMIENTOA1;EXPERIENCIAA1;ACOMPAÑAMIENTO2;CONOCIMIENTOA2;EXPERIENCIAA2;ACOMPAÑAMIENTO3;CONOCIMIENTOA3;EXPERIENCIAA3;ACOMPAÑAMIENTO4;CONOCIMIENTOA4;EXPERIENCIAA4;ACOMPAÑAMIENTO5;CONOCIMIENTOA5;EXPERIENCIAA5;LOCALIDAD;BARRIO;RESTRICCION_DESPLAZAMIENTO;RESTRICCION_OBJETOS;CONTEXTURA_FISICA;NACIONALIDAD;DISPONIBILIDAD;PERSONALIDAD;PREFERENCIA_TURNO1;NIVEL_PREFERENCIA1;PREFERENCIA_TURNO2;NIVEL_PREFERENCIA2;PREFERENCIA_COMPAÑIA1;NIVEL_PREFERENCIA1;PREFERENCIA_COMPAÑIA2;NIVEL_PREFERENCIA2;PREFERENCIA_COMPAÑIA3;NIVEL_PREFERENCIA3;PREFERENCIA_GENERO1;NIVEL_PREFERENCIA1;PREFERENCIA_GENERO2;NIVEL_PREFERENCIA2;PREFERENCIA_TIPO_SERVICIO1;NIVEL_PREFERENCIA1;PREFERENCIA_TIPO_SERVICIO2;NIVEL_PREFERENCIA2;PREFERENCIA_TIPO_SERVICIO3;NIVEL_PREFERENCIA3;PREFERENCIA_TIPO_SERVICIO4;NIVEL_PREFERENCIA4;PREFERENCIA_GRUPO_DIAGNOSTICO1;NIVEL_PREFERENCIA1;PREFERENCIA_GRUPO_DIAGNOSTICO2;NIVEL_PREFERENCIA2;PREFERENCIA_GRUPO_DIAGNOSTICO3;NIVEL_PREFERENCIA3;PREFERENCIA_GRUPO_DIAGNOSTICO4;NIVEL_PREFERENCIA4;PREFERENCIA_GRUPO_DIAGNOSTICO5;NIVEL_PREFERENCIA5;PREFERENCIA_GRUPO_DIAGNOSTICO6;NIVEL_PREFERENCIA6;PREFERENCIA_CONDICION_SALUD1;NIVEL_PREFERENCIA1;PREFERENCIA_CONDICION_SALUD2;NIVEL_PREFERENCIA2;PREFERENCIA_CONDICION_SALUD3;NIVEL_PREFERENCIA3;PREFERENCIA_CONDICION_SALUD4;NIVEL_PREFERENCIA4;PREFERENCIA_CONDICION_SALUD5;NIVEL_PREFERENCIA5;GUSTOS_PRESENCIA_MASCOTAS;INTERES_CAPACITACION1;NIVEL_INTERES1;INTERES_CAPACITACION2;NIVEL_INTERES2;INTERES_CAPACITACION3;NIVEL_INTERES3;INTERES_CAPACITACION4;NIVEL_INTERES4;INTERES_CAPACITACION5;NIVEL_INTERES5;INTERES_CAPACITACION6;NIVEL_INTERES6;INTERES_CAPACITACION7;NIVEL_INTERES7;INTERES_CAPACITACION8;NIVEL_INTERES8;INTERES_CAPACITACION9;NIVEL_INTERES9;INTERES_CAPACITACION10;NIVEL_INTERES10;INTERES_CAPACITACION11;NIVEL_INTERES11;INTERES_CAPACITACION12;NIVEL_INTERES12;INTERES_CAPACITACION13;NIVEL_INTERES13;INTERES_CAPACITACION14;NIVEL_INTERES14;INTERES_CAPACITACION15;NIVEL_INTERES15;INTERES_CAPACITACION16;NIVEL_INTERES16;INTERES_CAPACITACION17;NIVEL_INTERES17;INTERES_CAPACITACION18;NIVEL_INTERES18;INTERES_CAPACITACION19;NIVEL_INTERES19;INTERES_CAPACITACION20;NIVEL_INTERES20;INTERES_CAPACITACION21;NIVEL_INTERES21;PRIORIDAD_PREFERENCIA_TURNO;PRIORIDAD_PREFERENCIA_ACOMPAÑA;PRIORIDAD_PREFERENCIA_EDAD;PRIORIDAD_PREFERENCIA_SERVICIO;CONDICION6;CONOCIMIENTOC6;EXPERIENCIAC6;CONDICION7;CONOCIMIENTOC7;EXPERIENCIAC7;CONDICION8;CONOCIMIENTOC8;EXPERIENCIAC8;CONDICION9;CONOCIMIENTOC9;EXPERIENCIAC9;CONDICION10;CONOCIMIENTOC10;EXPERIENCIAC10;CONDICION11;CONOCIMIENTOC11;EXPERIENCIAC11;CONDICION12;CONOCIMIENTOC12;EXPERIENCIAC12;CONDICION13;CONOCIMIENTOC13;EXPERIENCIAC13;CONDICION14;CONOCIMIENTOC14;EXPERIENCIAC14;CONCIENCIA1;CONOCIMIENTOCC1;EXPERIENCIACC1;CONCIENCIA2;CONOCIMIENTOCC2;EXPERIENCIACC2;CONCIENCIA3;CONOCIMIENTOCC3;EXPERIENCIACC3;CONCIENCIA4;CONOCIMIENTOCC4;EXPERIENCIACC4;CONCIENCIA5;CONOCIMIENTOCC5;EXPERIENCIACC5;PRIORIDAD_PREFERENCIA_GENERO;PRIORIDAD_PREFERENCIA_DIAGNOSTICO;PRIORIDAD_PREFERENCIA_CONDICION
1;Nombre1;Apellido1;1019891716;1960-03-09;Femenino;Catéter Periférico;SI;SI;Colostomía;SI;SI;Discapacidad auditiva;NO;NO;Discapacidad visual;SI;SI;Drenes;NO;NO;Medicina Interna;SI;NO;Quirúrgico ;SI;NO;Oncológico ;SI;SI;Psiquiátrico ;NO;NO;Madre recién nacido;NO;NO;Neurológico;SI;NO;Paciente acompañado de familiar;SI;NO;Paciente sin compañía;SI;NO;Paciente acompañado de empleada;NO;NO;Toma de signos vitales;NO;NO;Seguridad del paciente;NO;NO;;;NO;SI;Delgado;Colombia;NO;Hablador;Diurno;2;Nocturno;4;Paciente acompañado de familiar;5;Paciente acompañado de empleada;1;Paciente sin compañía;2;Masculino;5;Femenino;4;Domicilio;1;IPS;4;Clínicas estéticas;5;Empresarial;3;Medicina Interna;2;Quirúrgico ;3;Oncológico ;2;Psiquiátrico ;1;Madre recién nacido;2;Neurológico ;4;Alerta/orientado;5;Comatoso;1;Confusión/desorientado;2;Estuporoso;4;Vegetativo;1;SI;"	Medicina Interna ";1;"	Quirúrgico ";3;"	Oncológico ";5;"	Psiquiátrico ";1;"	Madre recién nacido";3;"	Neurológico ";5;"	Catéter Periférico";5;"	Colostomía";5;"	Discapacidad auditiva";2;"	Discapacidad visual";4;"	Drenes";1;"	Glucometría";3;"	Medicación aplicación endovenosa";5;"	Nefrostomia";1;"	Oxigeno";4;"	Sonda Gastrostomía";5;"	Sonda Naso gástrica";4;"	Sonda Orogástrica";5;"	Sonda Vesical";4;"	Traqueostomía";1;"	Habilidades blandas";2;1;2;3;4;Glucometría;SI;SI;Medicación aplicación endovenosa;SI;NO;Nefrostomia;SI;NO;Oxigeno;NO;NO;Sonda Gastrostomía;NO;NO;Sonda Naso gástrica;SI;SI;Sonda Orogástrica;NO;NO;Sonda Vesical;SI;SI;Traqueostomía;SI;SI;Alerta/orientado;SI;SI;Comatoso;SI;SI;Confusión/desorientado;NO;NO;Estuporoso;SI;SI;Vegetativo;NO;NO;5;5;1
2;Nombre2;Apellido2;1001265534;1965-07-28;Masculino;Catéter Periférico;NO;NO;Colostomía;NO;NO;Discapacidad auditiva;SI;NO;Discapacidad visual;NO;NO;Drenes;NO;NO;Medicina Interna;NO;NO;Quirúrgico ;SI;NO;Oncológico ;SI;SI;Psiquiátrico ;NO;NO;Madre recién nacido;SI;SI;Neurológico;SI;SI;Paciente acompañado de familiar;NO;NO;Paciente sin compañía;NO;NO;Paciente acompañado de empleada;SI;NO;Toma de signos vitales;NO;NO;Seguridad del paciente;SI;NO;;;SI;NO;Grueso;Venezuela;NO;Demandante;Diurno;5;Nocturno;3;Paciente acompañado de familiar;5;Paciente acompañado de empleada;1;Paciente sin compañía;3;Masculino;3;Femenino;4;Domicilio;4;IPS;4;Clínicas estéticas;5;Empresarial;2;Medicina Interna;5;Quirúrgico ;4;Oncológico ;2;Psiquiátrico ;3;Madre recién nacido;5;Neurológico ;4;Alerta/orientado;3;Comatoso;5;Confusión/desorientado;5;Estuporoso;5;Vegetativo;5;NO;"	Medicina Interna ";5;"	Quirúrgico ";5;"	Oncológico ";5;"	Psiquiátrico ";3;"	Madre recién nacido";5;"	Neurológico ";3;"	Catéter Periférico";1;"	Colostomía";5;"	Discapacidad auditiva";4;"	Discapacidad visual";1;"	Drenes";3;"	Glucometría";2;"	Medicación aplicación endovenosa";5;"	Nefrostomia";1;"	Oxigeno";4;"	Sonda Gastrostomía";5;"	Sonda Naso gástrica";4;"	Sonda Orogástrica";2;"	Sonda Vesical";1;"	Traqueostomía";3;"	Habilidades blandas";4;1;2;3;4;Glucometría;NO;NO;Medicación aplicación endovenosa;NO;NO;Nefrostomia;SI;SI;Oxigeno;NO;NO;Sonda Gastrostomía;NO;NO;Sonda Naso gástrica;NO;NO;Sonda Orogástrica;SI;NO;Sonda Vesical;NO;NO;Traqueostomía;SI;NO;Alerta/orientado;NO;NO;Comatoso;NO;NO;Confusión/desorientado;SI;NO;Estuporoso;NO;NO;Vegetativo;NO;NO;2;2;4
3;Nombre3;Apellido3;1018540534;1971-02-24;Femenino;Catéter Periférico;SI;NO;Colostomía;NO;NO;Discapacidad auditiva;SI;SI;Discapacidad visual;NO;NO;Drenes;NO;NO;Medicina Interna;NO;NO;Quirúrgico ;SI;NO;Oncológico ;NO;NO;Psiquiátrico ;NO;NO;Madre recién nacido;NO;NO;Neurológico;NO;NO;Paciente acompañado de familiar;NO;NO;Paciente sin compañía;SI;SI;Paciente acompañado de empleada;NO;NO;Toma de signos vitales;SI;SI;Seguridad del paciente;SI;NO;;;SI;NO;Delgado;Venezuela;NO;Hablador;Diurno;4;Nocturno;4;Paciente acompañado de familiar;4;Paciente acompañado de empleada;5;Paciente sin compañía;3;Masculino;3;Femenino;2;Domicilio;4;IPS;3;Clínicas estéticas;1;Empresarial;5;Medicina Interna;3;Quirúrgico ;3;Oncológico ;1;Psiquiátrico ;4;Madre recién nacido;5;Neurológico ;3;Alerta/orientado;4;Comatoso;3;Confusión/desorientado;3;Estuporoso;1;Vegetativo;5;NO;"	Medicina Interna ";3;"	Quirúrgico ";1;"	Oncológico ";5;"	Psiquiátrico ";5;"	Madre recién nacido";5;"	Neurológico ";2;"	Catéter Periférico";3;"	Colostomía";3;"	Discapacidad auditiva";4;"	Discapacidad visual";4;"	Drenes";1;"	Glucometría";1;"	Medicación aplicación endovenosa";4;"	Nefrostomia";3;"	Oxigeno";4;"	Sonda Gastrostomía";5;"	Sonda Naso gástrica";4;"	Sonda Orogástrica";5;"	Sonda Vesical";5;"	Traqueostomía";3;"	Habilidades blandas";2;1;2;3;4;Glucometría;SI;NO;Medicación aplicación endovenosa;SI;NO;Nefrostomia;SI;NO;Oxigeno;NO;NO;Sonda Gastrostomía;NO;NO;Sonda Naso gástrica;NO;NO;Sonda Orogástrica;NO;NO;Sonda Vesical;NO;NO;Traqueostomía;SI;SI;Alerta/orientado;SI;NO;Comatoso;NO;NO;Confusión/desorientado;SI;SI;Estuporoso;NO;NO;Vegetativo;NO;NO;3;3;5
4;Nombre4;Apellido4;1004448382;2000-02-23;Femenino;Catéter Periférico;NO;NO;Colostomía;NO;NO;Discapacidad auditiva;NO;NO;Discapacidad visual;NO;NO;Drenes;SI;SI;Medicina Interna;SI;NO;Quirúrgico ;NO;NO;Oncológico ;SI;SI;Psiquiátrico ;NO;NO;Madre recién nacido;NO;NO;Neurológico;SI;SI;Paciente acompañado de familiar;NO;NO;Paciente sin compañía;SI;NO;Paciente acompañado de empleada;NO;NO;Toma de signos vitales;NO;NO;Seguridad del paciente;NO;NO;;;NO;SI;Grueso;Venezuela;NO;Ansioso;Diurno;1;Nocturno;2;Paciente acompañado de familiar;2;Paciente acompañado de empleada;2;Paciente sin compañía;1;Masculino;3;Femenino;1;Domicilio;5;IPS;2;Clínicas estéticas;1;Empresarial;2;Medicina Interna;3;Quirúrgico ;1;Oncológico ;5;Psiquiátrico ;2;Madre recién nacido;2;Neurológico ;1;Alerta/orientado;1;Comatoso;1;Confusión/desorientado;3;Estuporoso;5;Vegetativo;5;SI;"	Medicina Interna ";1;"	Quirúrgico ";2;"	Oncológico ";5;"	Psiquiátrico ";1;"	Madre recién nacido";5;"	Neurológico ";1;"	Catéter Periférico";4;"	Colostomía";1;"	Discapacidad auditiva";5;"	Discapacidad visual";5;"	Drenes";1;"	Glucometría";1;"	Medicación aplicación endovenosa";3;"	Nefrostomia";5;"	Oxigeno";4;"	Sonda Gastrostomía";2;"	Sonda Naso gástrica";4;"	Sonda Orogástrica";4;"	Sonda Vesical";2;"	Traqueostomía";1;"	Habilidades blandas";3;1;2;3;4;Glucometría;NO;NO;Medicación aplicación endovenosa;NO;NO;Nefrostomia;SI;SI;Oxigeno;NO;NO;Sonda Gastrostomía;NO;NO;Sonda Naso gástrica;SI;SI;Sonda Orogástrica;SI;SI;Sonda Vesical;SI;SI;Traqueostomía;SI;NO;Alerta/orientado;NO;NO;Comatoso;NO;NO;Confusión/desorientado;NO;NO;Estuporoso;NO;NO;Vegetativo;SI;SI;1;1;5
5;Nombre5;Apellido5;1009077851;1960-06-28;Masculino;Catéter Periférico;SI;SI;Colostomía;SI;NO;Discapacidad auditiva;NO;NO;Discapacidad visual;SI;NO;Drenes;NO;NO;Medicina Interna;SI;NO;Quirúrgico ;SI;SI;Oncológico ;NO;NO;Psiquiátrico ;NO;NO;Madre recién nacido;NO;NO;Neurológico;SI;NO;Paciente acompañado de familiar;SI;SI;Paciente sin compañía;NO;NO;Paciente acompañado de empleada;NO;NO;Toma de signos vitales;SI;NO;Seguridad del paciente;SI;SI;;;SI;SI;Delgado;Venezuela;NO;Hablador;Diurno;2;Nocturno;1;Paciente acompañado de familiar;5;Paciente acompañado de empleada;2;Paciente sin compañía;4;Masculino;5;Femenino;3;Domicilio;5;IPS;4;Clínicas estéticas;2;Empresarial;4;Medicina Interna;4;Quirúrgico ;5;Oncológico ;4;Psiquiátrico ;4;Madre recién nacido;4;Neurológico ;2;Alerta/orientado;4;Comatoso;4;Confusión/desorientado;3;Estuporoso;4;Vegetativo;2;SI;"	Medicina Interna ";1;"	Quirúrgico ";4;"	Oncológico ";2;"	Psiquiátrico ";3;"	Madre recién nacido";1;"	Neurológico ";2;"	Catéter Periférico";3;"	Colostomía";1;"	Discapacidad auditiva";3;"	Discapacidad visual";3;"	Drenes";5;"	Glucometría";5;"	Medicación aplicación endovenosa";4;"	Nefrostomia";1;"	Oxigeno";1;"	Sonda Gastrostomía";1;"	Sonda Naso gástrica";1;"	Sonda Orogástrica";4;"	Sonda Vesical";3;"	Traqueostomía";2;"	Habilidades blandas";4;1;2;3;4;Glucometría;SI;SI;Medicación aplicación endovenosa;NO;NO;Nefrostomia;SI;NO;Oxigeno;NO;NO;Sonda Gastrostomía;SI;SI;Sonda Naso gástrica;SI;NO;Sonda Orogástrica;NO;NO;Sonda Vesical;SI;NO;Traqueostomía;SI;SI;Alerta/orientado;SI;SI;Comatoso;SI;NO;Confusión/desorientado;NO;NO;Estuporoso;SI;NO;Vegetativo;NO;NO;4;4;2
6;Nombre6;Apellido6;1008309852;1958-09-19;Femenino;Catéter Periférico;SI;NO;Colostomía;NO;NO;Discapacidad auditiva;SI;NO;Discapacidad visual;SI;NO;Drenes;NO;NO;Medicina Interna;SI;NO;Quirúrgico ;SI;SI;Oncológico ;NO;NO;Psiquiátrico ;SI;SI;Madre recién nacido;SI;SI;Neurológico;NO;NO;Paciente acompañado de familiar;NO;NO;Paciente sin compañía;SI;SI;Paciente acompañado de empleada;SI;SI;Toma de signos vitales;NO;NO;Seguridad del paciente;SI;SI;;;NO;NO;Grueso;Venezuela;NO;Hablador;Diurno;1;Nocturno;2;Paciente acompañado de familiar;1;Paciente acompañado de empleada;4;Paciente sin compañía;1;Masculino;5;Femenino;1;Domicilio;5;IPS;3;Clínicas estéticas;1;Empresarial;3;Medicina Interna;3;Quirúrgico ;1;Oncológico ;5;Psiquiátrico ;2;Madre recién nacido;3;Neurológico ;4;Alerta/orientado;4;Comatoso;4;Confusión/desorientado;1;Estuporoso;2;Vegetativo;2;NO;"	Medicina Interna ";2;"	Quirúrgico ";5;"	Oncológico ";4;"	Psiquiátrico ";2;"	Madre recién nacido";3;"	Neurológico ";1;"	Catéter Periférico";3;"	Colostomía";5;"	Discapacidad auditiva";5;"	Discapacidad visual";2;"	Drenes";1;"	Glucometría";1;"	Medicación aplicación endovenosa";2;"	Nefrostomia";3;"	Oxigeno";1;"	Sonda Gastrostomía";4;"	Sonda Naso gástrica";1;"	Sonda Orogástrica";2;"	Sonda Vesical";4;"	Traqueostomía";5;"	Habilidades blandas";4;1;2;3;4;Glucometría;SI;NO;Medicación aplicación endovenosa;NO;NO;Nefrostomia;NO;NO;Oxigeno;NO;NO;Sonda Gastrostomía;SI;NO;Sonda Naso gástrica;SI;SI;Sonda Orogástrica;SI;SI;Sonda Vesical;SI;NO;Traqueostomía;SI;NO;Alerta/orientado;SI;NO;Comatoso;NO;NO;Confusión/desorientado;SI;NO;Estuporoso;SI;NO;Vegetativo;NO;NO;5;5;3
7;Nombre7;Apellido7;1015129319;1969-11-04;Femenino;Catéter Periférico;SI;SI;Colostomía;SI;NO;Discapacidad auditiva;SI;SI;Discapacidad visual;SI;NO;Drenes;SI;NO;Medicina Interna;NO;NO;Quirúrgico ;NO;NO;Oncológico ;NO;NO;Psiquiátrico ;SI;NO;Madre recién nacido;SI;NO;Neurológico;NO;NO;Paciente acompañado de familiar;SI;SI;Paciente sin compañía;NO;NO;Paciente acompañado de empleada;SI;NO;Toma de signos vitales;NO;NO;Seguridad del paciente;SI;SI;;;NO;SI;Grueso;Venezuela;NO;Hablador;Diurno;5;Nocturno;2;Paciente acompañado de familiar;1;Paciente acompañado de empleada;2;Paciente sin compañía;2;Masculino;4;Femenino;3;Domicilio;1;IPS;1;Clínicas estéticas;5;Empresarial;1;Medicina Interna;4;Quirúrgico ;3;Oncológico ;5;Psiquiátrico ;3;Madre recién nacido;1;Neurológico ;5;Alerta/orientado;1;Comatoso;4;Confusión/desorientado;4;Estuporoso;2;Vegetativo;2;NO;"	Medicina Interna ";5;"	Quirúrgico ";3;"	Oncológico ";4;"	Psiquiátrico ";4;"	Madre recién nacido";1;"	Neurológico ";2;"	Catéter Periférico";3;"	Colostomía";3;"	Discapacidad auditiva";5;"	Discapacidad visual";4;"	Drenes";3;"	Glucometría";5;"	Medicación aplicación endovenosa";5;"	Nefrostomia";5;"	Oxigeno";4;"	Sonda Gastrostomía";3;"	Sonda Naso gástrica";2;"	Sonda Orogástrica";1;"	Sonda Vesical";4;"	Traqueostomía";3;"	Habilidades blandas";5;1;2;3;4;Glucometría;SI;SI;Medicación aplicación endovenosa;NO;NO;Nefrostomia;NO;NO;Oxigeno;SI;SI;Sonda Gastrostomía;SI;SI;Sonda Naso gástrica;SI;NO;Sonda Orogástrica;SI;NO;Sonda Vesical;SI;SI;Traqueostomía;NO;NO;Alerta/orientado;SI;SI;Comatoso;SI;NO;Confusión/desorientado;SI;SI;Estuporoso;SI;NO;Vegetativo;SI;NO;5;5;4
8;Nombre8;Apellido8;1003965126;1981-10-16;Femenino;Catéter Periférico;SI;NO;Colostomía;SI;SI;Discapacidad auditiva;NO;NO;Discapacidad visual;NO;NO;Drenes;NO;NO;Medicina Interna;SI;SI;Quirúrgico ;NO;NO;Oncológico ;SI;SI;Psiquiátrico ;SI;NO;Madre recién nacido;SI;NO;Neurológico;NO;NO;Paciente acompañado de familiar;NO;NO;Paciente sin compañía;NO;NO;Paciente acompañado de empleada;SI;SI;Toma de signos vitales;NO;NO;Seguridad del paciente;NO;NO;;;SI;NO;Delgado;Venezuela;NO;Demandante;Diurno;4;Nocturno;2;Paciente acompañado de familiar;1;Paciente acompañado de empleada;3;Paciente sin compañía;3;Masculino;3;Femenino;1;Domicilio;4;IPS;2;Clínicas estéticas;1;Empresarial;2;Medicina Interna;3;Quirúrgico ;5;Oncológico ;2;Psiquiátrico ;5;Madre recién nacido;4;Neurológico ;4;Alerta/orientado;5;Comatoso;4;Confusión/desorientado;3;Estuporoso;2;Vegetativo;4;SI;"	Medicina Interna ";3;"	Quirúrgico ";3;"	Oncológico ";3;"	Psiquiátrico ";1;"	Madre recién nacido";5;"	Neurológico ";4;"	Catéter Periférico";1;"	Colostomía";4;"	Discapacidad auditiva";1;"	Discapacidad visual";2;"	Drenes";3;"	Glucometría";4;"	Medicación aplicación endovenosa";5;"	Nefrostomia";3;"	Oxigeno";2;"	Sonda Gastrostomía";3;"	Sonda Naso gástrica";3;"	Sonda Orogástrica";5;"	Sonda Vesical";2;"	Traqueostomía";4;"	Habilidades blandas";2;1;2;3;4;Glucometría;SI;NO;Medicación aplicación endovenosa;NO;NO;Nefrostomia;NO;NO;Oxigeno;SI;NO;Sonda Gastrostomía;SI;NO;Sonda Naso gástrica;NO;NO;Sonda Orogástrica;SI;SI;Sonda Vesical;SI;NO;Traqueostomía;NO;NO;Alerta/orientado;SI;NO;Comatoso;SI;SI;Confusión/desorientado;NO;NO;Estuporoso;NO;NO;Vegetativo;NO;NO;2;2;3
9;Nombre9;Apellido9;1012644812;1976-07-02;Masculino;Catéter Periférico;SI;NO;Colostomía;SI;SI;Discapacidad auditiva;NO;NO;Discapacidad visual;SI;SI;Drenes;NO;NO;Medicina Interna;SI;NO;Quirúrgico ;NO;NO;Oncológico ;SI;SI;Psiquiátrico ;SI;SI;Madre recién nacido;SI;NO;Neurológico;SI;SI;Paciente acompañado de familiar;SI;SI;Paciente sin compañía;SI;SI;Paciente acompañado de empleada;NO;NO;Toma de signos vitales;NO;NO;Seguridad del paciente;SI;NO;;;NO;SI;Grueso;Venezuela;SI;Ansioso;Diurno;2;Nocturno;1;Paciente acompañado de familiar;4;Paciente acompañado de empleada;3;Paciente sin compañía;5;Masculino;1;Femenino;5;Domicilio;1;IPS;1;Clínicas estéticas;3;Empresarial;5;Medicina Interna;5;Quirúrgico ;3;Oncológico ;3;Psiquiátrico ;3;Madre recién nacido;2;Neurológico ;3;Alerta/orientado;3;Comatoso;2;Confusión/desorientado;2;Estuporoso;1;Vegetativo;5;SI;"	Medicina Interna ";3;"	Quirúrgico ";3;"	Oncológico ";1;"	Psiquiátrico ";4;"	Madre recién nacido";5;"	Neurológico ";5;"	Catéter Periférico";2;"	Colostomía";2;"	Discapacidad auditiva";4;"	Discapacidad visual";2;"	Drenes";2;"	Glucometría";3;"	Medicación aplicación endovenosa";3;"	Nefrostomia";4;"	Oxigeno";1;"	Sonda Gastrostomía";3;"	Sonda Naso gástrica";3;"	Sonda Orogástrica";4;"	Sonda Vesical";1;"	Traqueostomía";4;"	Habilidades blandas";2;1;2;3;4;Glucometría;SI;NO;Medicación aplicación endovenosa;NO;NO;Nefrostomia;NO;NO;Oxigeno;NO;NO;Sonda Gastrostomía;SI;SI;Sonda Naso gástrica;SI;NO;Sonda Orogástrica;SI;NO;Sonda Vesical;SI;NO;Traqueostomía;NO;NO;Alerta/orientado;SI;NO;Comatoso;SI;SI;Confusión/desorientado;NO;NO;Estuporoso;SI;SI;Vegetativo;NO;NO;3;3;4
10;Nombre10;Apellido10;1017057721;1972-02-21;Femenino;Catéter Periférico;NO;NO;Colostomía;NO;NO;Discapacidad auditiva;SI;NO;Discapacidad visual;SI;SI;Drenes;NO;NO;Medicina Interna;NO;NO;Quirúrgico ;NO;NO;Oncológico ;SI;NO;Psiquiátrico ;SI;NO;Madre recién nacido;SI;NO;Neurológico;SI;SI;Paciente acompañado de familiar;SI;NO;Paciente sin compañía;NO;NO;Paciente acompañado de empleada;NO;NO;Toma de signos vitales;NO;NO;Seguridad del paciente;NO;NO;;;SI;NO;Delgado;Venezuela;NO;Reservado;Diurno;1;Nocturno;5;Paciente acompañado de familiar;4;Paciente acompañado de empleada;3;Paciente sin compañía;1;Masculino;1;Femenino;4;Domicilio;5;IPS;2;Clínicas estéticas;1;Empresarial;3;Medicina Interna;5;Quirúrgico ;1;Oncológico ;4;Psiquiátrico ;4;Madre recién nacido;2;Neurológico ;1;Alerta/orientado;4;Comatoso;2;Confusión/desorientado;4;Estuporoso;2;Vegetativo;3;SI;"	Medicina Interna ";1;"	Quirúrgico ";1;"	Oncológico ";5;"	Psiquiátrico ";5;"	Madre recién nacido";4;"	Neurológico ";5;"	Catéter Periférico";5;"	Colostomía";3;"	Discapacidad auditiva";4;"	Discapacidad visual";4;"	Drenes";3;"	Glucometría";2;"	Medicación aplicación endovenosa";1;"	Nefrostomia";5;"	Oxigeno";5;"	Sonda Gastrostomía";5;"	Sonda Naso gástrica";3;"	Sonda Orogástrica";4;"	Sonda Vesical";4;"	Traqueostomía";1;"	Habilidades blandas";4;1;2;3;4;Glucometría;NO;NO;Medicación aplicación endovenosa;NO;NO;Nefrostomia;NO;NO;Oxigeno;SI;NO;Sonda Gastrostomía;NO;NO;Sonda Naso gástrica;NO;NO;Sonda Orogástrica;NO;NO;Sonda Vesical;SI;SI;Traqueostomía;NO;NO;Alerta/orientado;NO;NO;Comatoso;NO;NO;Confusión/desorientado;SI;NO;Estuporoso;SI;SI;Vegetativo;NO;NO;5;4;4
